,sid,经度,纬度,province,city
0,50136,52.96666666666497,122.51666666666382,黑龙江省,大兴安岭地区
1,50246,52.35000000000282,124.71666666667042,黑龙江省,大兴安岭地区
2,50247,52.03333333333519,123.5666666666674,黑龙江省,大兴安岭地区
3,50349,51.670919259001025,124.39149481533563,黑龙江省,大兴安岭地区
4,50353,51.726948619365984,126.63971804730865,黑龙江省,大兴安岭地区
5,50425,50.25,120.18333333333211,内蒙古自治区,呼伦贝尔市
6,50434,50.48333333333472,121.68333333333237,内蒙古自治区,呼伦贝尔市
7,50442,50.39999999999729,124.1166666666609,内蒙古自治区,呼伦贝尔市
8,50468,50.25,127.4508912967559,黑龙江省,黑河市
9,50514,49.58333333333229,117.31666666666828,内蒙古自治区,呼伦贝尔市
10,50527,49.24574740766637,119.70637888850695,内蒙古自治区,呼伦贝尔市
11,50548,49.199999999998894,123.71666666667038,内蒙古自治区,呼伦贝尔市
12,50557,49.16648607713039,125.2333333333362,黑龙江省,黑河市
13,50564,49.43368868693958,127.35035535360231,黑龙江省,黑河市
14,50603,48.67269602703003,116.81666666666834,内蒙古自治区,呼伦贝尔市
15,50618,48.21666666666404,118.26666666666388,内蒙古自治区,呼伦贝尔市
16,50632,48.766666666665365,121.91666666666862,内蒙古自治区,呼伦贝尔市
17,50639,48.0,122.73333333333618,内蒙古自治区,呼伦贝尔市
18,50656,48.25850518466726,126.50425259233371,黑龙江省,黑河市
19,50658,48.050000000001404,125.88333333333941,黑龙江省,齐齐哈尔市
20,50674,48.56666666666669,129.43333333333334,黑龙江省,伊春市
21,50727,47.16666666666827,119.93333333333211,内蒙古自治区,兴安盟
22,50739,47.32127461260663,123.20745077478405,黑龙江省,齐齐哈尔市
23,50742,47.80000000000149,124.48333333333618,黑龙江省,齐齐哈尔市
24,50745,47.38333333333204,123.91666666666892,黑龙江省,齐齐哈尔市
25,50756,47.44858441104347,126.93049050447924,黑龙江省,绥化市
26,50758,47.18262262612194,125.90000000000336,黑龙江省,绥化市
27,50774,47.71276942793729,128.86525690317876,黑龙江省,伊春市
28,50778,47.666666666668156,132.53333333332935,黑龙江省,佳木斯市
29,50788,47.23333333333455,131.98333333333625,黑龙江省,佳木斯市
30,50834,46.60000000000245,121.21666666667028,内蒙古自治区,兴安盟
31,50838,46.08333333333146,122.0499999999935,内蒙古自治区,兴安盟
32,50844,46.39999999999757,123.45000000000657,黑龙江省,齐齐哈尔市
33,50853,46.61666666666794,126.96666666667048,黑龙江省,绥化市
34,50854,46.38333333333208,125.31666666666716,黑龙江省,绥化市
35,50862,46.98333333333454,127.99183851800358,黑龙江省,伊春市
36,50873,46.78333333333628,130.29999999999322,黑龙江省,佳木斯市
37,50877,46.30000000000191,129.58333333333036,黑龙江省,哈尔滨市
38,50888,46.340784108119564,132.17730397297154,黑龙江省,双鸭山市
